Document,Term,Term Frequency,Document Length,Inverse Document Frequency,TF-IDF Weight
Climate_Change_in_the_World.txt#doc0,climat,34,752,2.0794,70.701
Climate_Change_in_the_World.txt#doc0,chang,19,752,0.47,8.9301
Climate_Change_in_the_World.txt#doc0,world,2,752,0.47,0.94
Climate_Change_in_the_World.txt#doc0,1,1,752,0.47,0.47
Climate_Change_in_the_World.txt#doc0,refer,1,752,0.6931,0.6931
Climate_Change_in_the_World.txt#doc0,signific,2,752,0.1335,0.2671
Climate_Change_in_the_World.txt#doc0,alter,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,global,8,752,0.47,3.76
Climate_Change_in_the_World.txt#doc0,weather,5,752,2.0794,10.3972
Climate_Change_in_the_World.txt#doc0,pattern,4,752,1.3863,5.5452
Climate_Change_in_the_World.txt#doc0,particularli,2,752,0.47,0.94
Climate_Change_in_the_World.txt#doc0,rise,5,752,0.6931,3.4657
Climate_Change_in_the_World.txt#doc0,averag,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,temperatur,5,752,2.0794,10.3972
Climate_Change_in_the_World.txt#doc0,decad,1,752,0.6931,0.6931
Climate_Change_in_the_World.txt#doc0,centuri,2,752,0.6931,1.3863
Climate_Change_in_the_World.txt#doc0,earth,5,752,2.0794,10.3972
Climate_Change_in_the_World.txt#doc0,natur,2,752,0.6931,1.3863
Climate_Change_in_the_World.txt#doc0,fluctuat,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,throughout,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,histori,1,752,0.47,0.47
Climate_Change_in_the_World.txt#doc0,current,2,752,1.3863,2.7726
Climate_Change_in_the_World.txt#doc0,trend,1,752,0.6931,0.6931
Climate_Change_in_the_World.txt#doc0,warm,4,752,2.0794,8.3178
Climate_Change_in_the_World.txt#doc0,larg,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,driven,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,human,3,752,0.6931,2.0794
Climate_Change_in_the_World.txt#doc0,activ,2,752,1.3863,2.7726
Climate_Change_in_the_World.txt#doc0,burn,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,fossil,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,fuel,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,deforest,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,industri,3,752,0.6931,2.0794
Climate_Change_in_the_World.txt#doc0,emiss,5,752,2.0794,10.3972
Climate_Change_in_the_World.txt#doc0,increas,4,752,0.47,1.88
Climate_Change_in_the_World.txt#doc0,concentr,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,greenhous,4,752,2.0794,8.3178
Climate_Change_in_the_World.txt#doc0,gase,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,like,5,752,0.2877,1.4384
Climate_Change_in_the_World.txt#doc0,carbon,6,752,2.0794,12.4766
Climate_Change_in_the_World.txt#doc0,dioxid,3,752,2.0794,6.2383
Climate_Change_in_the_World.txt#doc0,methan,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,atmospher,3,752,2.0794,6.2383
Climate_Change_in_the_World.txt#doc0,trap,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,heat,3,752,2.0794,6.2383
Climate_Change_in_the_World.txt#doc0,disruptin,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,2,1,752,0.47,0.47
Climate_Change_in_the_World.txt#doc0,revolut,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,mark,1,752,0.47,0.47
Climate_Change_in_the_World.txt#doc0,turn,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,point,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,trajectori,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,sinc,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,18th,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,largescal,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,combust,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,coal,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,oil,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,ga,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,releas,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,massiv,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,amount,1,752,0.9808,0.9808
Climate_Change_in_the_World.txt#doc0,result,1,752,0.9808,0.9808
Climate_Change_in_the_World.txt#doc0,effect,3,752,1.3863,4.1589
Climate_Change_in_the_World.txt#doc0,caus,2,752,0.9808,1.9617
Climate_Change_in_the_World.txt#doc0,surfac,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,1°c,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,preindustri,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,level,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,rapid,1,752,0.9808,0.9808
Climate_Change_in_the_World.txt#doc0,observ,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,past,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,10000,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,year,1,752,0.2877,0.2877
Climate_Change_in_the_World.txt#doc0,3,1,752,0.47,0.47
Climate_Change_in_the_World.txt#doc0,one,2,752,0.47,0.94
Climate_Change_in_the_World.txt#doc0,visibl,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,impact,5,752,0.9808,4.9041
Climate_Change_in_the_World.txt#doc0,melt,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,polar,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,ice,3,752,2.0794,6.2383
Climate_Change_in_the_World.txt#doc0,cap,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,glacier,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,arctic,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,sea,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,shrink,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,alarm,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,rate,2,752,1.3863,2.7726
Climate_Change_in_the_World.txt#doc0,greenland,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,antarct,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,sheet,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,lose,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,mass,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,contribut,3,752,0.9808,2.9425
Climate_Change_in_the_World.txt#doc0,pose,2,752,1.3863,2.7726
Climate_Change_in_the_World.txt#doc0,threat,2,752,0.6931,1.3863
Climate_Change_in_the_World.txt#doc0,coastal,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,citi,3,752,1.3863,4.1589
Climate_Change_in_the_World.txt#doc0,small,1,752,0.6931,0.6931
Climate_Change_in_the_World.txt#doc0,island,2,752,2.0794,4.1589
Climate_Change_in_the_World.txt#doc0,nation,5,752,0.2877,1.4384
Climate_Change_in_the_World.txt#doc0,around,1,752,0.6931,0.6931
Climate_Change_in_the_World.txt#doc0,globe,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,flood,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,eros,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,saltwat,1,752,2.0794,2.0794
Climate_Change_in_the_World.txt#doc0,intrus,1,752,1.3863,1.3863
Climate_Change_in_the_World.txt#doc0,freshwat,1,752,2.0794,2.0794
